35,OFG Bancorp,OFG^A,EUR,132.46,1606811456000
36,Bank of America Corporation,BAC^Y,USD,119.56,1579124281000
37,Blackrock New York Municipal Income Quality Trust,BSE,IDR,136.85,1599620147000
38,Liberty Broadband Corporation,LBRDK,IDR,-125.02,1605284358000
39,Kimco Realty Corporation,KIM^I,IDR,-192.71,1598332429000
40,"Knoll, Inc.",KNL,CNY,43.87,1585990347000
41,"Hercules Capital, Inc.",HTGC,MXN,44.14,1609120292000
42,Mattersight Corporation,MATR,NGN,166.97,1587662378000
43,"ABAXIS, Inc.",ABAX,CNY,39.68,1593265982000
44,First Trust Japan AlphaDEX Fund,FJP,EUR,-140.32,1583438762000
45,Global Eagle Entertainment Inc.,ENT,CNY,9.46,1587146582000
46,Hospitality Properties Trust,HPT,CNY,105.17,1591280153000
47,"Interactive Brokers Group, Inc.",IBKR,THB,24.26,1582066678000
48,"Delcath Systems, Inc.",DCTH,PHP,-76.03,1592095672000
49,Artesian Resources Corporation,ARTNA,PHP,157.6,1581240904000
50,"West Pharmaceutical Services, Inc.",WST,NOK,-28.9,1606482884000
51,Domtar Corporation,UFS,BRL,49.2,1594754628000
52,WEX Inc.,WEX,THB,-198.23,1608821157000
53,Nuveen AMT-Free Municipal Value Fund,NUW,VND,80.26,1586685663000
54,Southern California Edison Company,SCE^H,PEN,193.13,1584609242000
55,Geo Group Inc (The),GEO,UAH,-113.33,1598267728000
56,iFresh Inc.,IFMK,UAH,65.76,1598606880000
57,"Cable One, Inc.",CABO,EUR,-145.96,1602436516000
58,"Spark Energy, Inc.",SPKE,IRR,47.4,1605996476000
59,"Profire Energy, Inc.",PFIE,EUR,164.53,1599753653000
60,Nuveen Quality Municipal Income Fund,NAD,CNY,199.83,1590300752000
61,Yulong Eco-Materials Limited,YECO,IDR,-160.4,1604721817000
62,Pharmerica Corporation,PMC,KRW,-129.69,1593665543000
63,Unilever PLC,UL,JPY,-49.03,1601373377000
64,First Trust NASDAQ ABA Community Bank Index Fund,QABA,AFN,-195.28,1600320715000
65,Tidewater Inc.,TDW,ARS,-14.88,1594093999000
66,PBF Logistics LP,PBFX,CNY,86.07,1608334705000
67,Aegon NV,AEK,BRL,78.71,1594911331000
68,IRIDEX Corporation,IRIX,IDR,-9.43,1597620381000
69,"Mellanox Technologies, Ltd.",MLNX,UAH,-119.0,1606538489000
70,La Quinta Holdings Inc.,LQ,CNY,3.0,1584046159000
71,"Archrock Partners, L.P.",APLP,MXN,-63.09,1582046279000
72,Methanex Corporation,MEOH,CNY,102.87,1594046457000
73,"Celestica, Inc.",CLS,MGA,143.94,1593647757000
74,Ferroglobe PLC,GSM,EUR,-3.38,1605144202000
75,iShares MSCI New Zealand Capped ETF,ENZL,HRK,-121.55,1596565827000
76,"Cracker Barrel Old Country Store, Inc.",CBRL,RUB,133.59,1584524982000
77,TearLab Corporation,TEAR,CNY,48.85,1601382024000
78,"Malibu Boats, Inc.",MBUU,CNY,-17.85,1599931701000
79,"Five Point Holdings, LLC",FPH,CNY,78.52,1608701177000
80,IntriCon Corporation,IIN,IDR,-80.69,1590911053000
81,CNOOC Limited,CEO,CNY,133.66,1606364755000
82,"Amazon.com, Inc.",AMZN,CNY,10.21,1588014016000
83,News Corporation,NWS,CNY,144.83,1597643866000
84,Transdigm Group Incorporated,TDG,EUR,153.94,1577871328000
85,"Sajan, Inc.",SAJA,EUR,9.03,1592062343000
86,Deutsche Bank AG,DB,PLN,35.21,1606298177000
87,Renren Inc.,RENN,ARS,-100.15,1608643529000
88,"Organovo Holdings, Inc.",ONVO,GTQ,171.48,1595735596000
89,Middlefield Banc Corp.,MBCN,BWP,-62.03,1584302547000
90,"Agios Pharmaceuticals, Inc.",AGIO,SEK,124.51,1594898347000
91,Costamare Inc.,CMRE,PLN,122.76,1592090766000
92,Apartment Investment and Management Company,AIV,KZT,54.66,1608041027000
93,Hersha Hospitality Trust,HT^D,EGP,39.27,1579894534000
94,"bluebird bio, Inc.",BLUE,CAD,137.77,1591158473000
95,Evogene Ltd.,EVGN,JOD,40.85,1583947008000
96,"NetScout Systems, Inc.",NTCT,PHP,-189.53,1586208761000
97,"Appliance Recycling Centers of America, Inc.",ARCI,CNY,6.46,1594108589000
98,"Sinovac Biotech, Ltd.",SVA,PHP,139.38,1606310058000
99,The Advisory Board Company,ABCO,IDR,2.87,1582529357000
100,Gentherm Inc,THRM,EUR,102.46,1589232514000
101,Capital Product Partners L.P.,CPLP,CZK,-127.36,1598731251000
102,Gabelli Utility Trust (The),GUT^A,SEK,-16.47,1600931814000
103,Gabelli Dividend,GDV^D,AZN,-54.48,1586736369000
104,Nuveen Preferred and Income Term Fund,JPI,EUR,-78.47,1606334690000
105,"The Ensign Group, Inc.",ENSG,IDR,181.06,1578347849000
106,Horizon Bancorp (IN),HBNC,BRL,-145.43,1602250380000
107,Aegon NV,AED,CZK,-96.83,1604312556000
108,Bed Bath & Beyond Inc.,BBBY,RUB,-102.87,1588804904000
109,"People's United Financial, Inc.",PBCTP,CNY,71.9,1588526152000
110,"ImmunoGen, Inc.",IMGN,THB,0.63,1595465462000
111,Wells Fargo & Company,WFC^L,JPY,-133.44,1594913481000
112,Good Times Restaurants Inc.,GTIM,RUB,112.31,1603139170000
113,Old Republic International Corporation,ORI,IDR,66.23,1601659787000
114,Weyerhaeuser Company,WY,EUR,41.51,1604750186000
115,"ING Group, N.V.",ISF,KPW,163.44,1588739392000
116,"Greenbrier Companies, Inc. (The)",GBX,BRL,125.74,1580080644000
117,SteadyMed Ltd.,STDY,USD,29.53,1586595955000
118,Teradata Corporation,TDC,TND,-110.77,1598668264000
119,"Kona Grill, Inc.",KONA,VEF,-78.7,1582774082000
120,ENDRA Life Sciences Inc.,NDRAU,EUR,-30.83,1582294490000
121,Torchmark Corporation,TMK,XAF,115.18,1590803204000
122,Immuron Limited,IMRNW,NGN,-79.77,1595175694000
123,Gabelli Utility Trust (The),GUT^C,CNY,-175.63,1591415676000
124,Hunter Maritime Acquisition Corp.,HUNTU,JPY,88.9,1604693264000
125,"Becton, Dickinson and Company",BDX,PHP,122.72,1593091721000
126,"MarketAxess Holdings, Inc.",MKTX,PLN,-54.7,1600079644000
127,Pattern Energy Group Inc.,PEGI,BRL,-194.92,1604523768000
128,Noodles & Company,NDLS,IDR,68.53,1605613540000
129,"LegacyTexas Financial Group, Inc.",LTXB,CNY,-134.83,1578803620000
130,"W&T Offshore, Inc.",WTI,RUB,-35.5,1600873522000
131,"Dynex Capital, Inc.",DX^B,SEK,174.02,1591605667000
132,"Knoll, Inc.",KNL,EUR,55.77,1593271081000
133,CafePress Inc.,PRSS,IDR,121.48,1602673484000
134,"Alaska Air Group, Inc.",ALK,IDR,155.55,1594598418000
135,Eaton Vance Municipal Income Trust,EOT,BRL,9.02,1607439594000
136,Nuveen Global High Income Fund,JGH,IDR,178.48,1596180529000
137,Walter Investment Management Corp.,WAC,EUR,186.48,1589746195000
138,Harmony Merger Corp.,HRMNU,PLN,157.19,1589415095000
139,Auris Medical Holding AG,EARS,XOF,87.62,1603739920000
140,"Commerce Bancshares, Inc.",CBSH,CZK,-89.3,1608272466000
141,First Trust RiverFront Dynamic Asia Pacific ETF,RFAP,BRL,-41.74,1596197549000
142,"Mannatech, Incorporated",MTEX,IQD,-29.73,1606365494000
143,Kingtone Wirelessinfo Solution Holding Ltd,KONE,HRK,177.24,1587915406000
144,"Centennial Resource Development, Inc.",CDEV,JPY,-167.37,1588209503000
145,"First Financial Bankshares, Inc.",FFIN,PEN,155.09,1582991810000
146,Xylem Inc.,XYL,EUR,-181.49,1591272890000
147,"Energy Recovery, Inc.",ERII,CNY,-139.77,1600749283000
148,Golar LNG Limited,GLNG,IDR,-176.04,1582554763000
149,"Extraction Oil & Gas, Inc.",XOG,USD,-36.01,1596424031000
150,GW Pharmaceuticals Plc,GWPH,EUR,30.95,1590896446000
151,"CSG Systems International, Inc.",CSGS,CNY,-66.28,1609100764000
152,"USA Technologies, Inc.",USATP,IDR,-33.81,1607226370000
153,The Providence Service Corporation,PRSC,IDR,40.77,1580447284000
154,"Landstar System, Inc.",LSTR,EUR,-89.72,1582454998000
155,Applied DNA Sciences Inc,APDN,AZN,-92.84,1596643210000
156,"Quintiles IMS Holdings, Inc.",Q,XAF,187.75,1587216103000
157,ITUS Corporation,ITUS,PLN,78.29,1607875468000
158,"Delta Air Lines, Inc.",DAL,CNY,-23.99,1595435023000
159,"TCG BDC, Inc.",CGBD,IDR,41.54,1602257116000
160,Brightcove Inc.,BCOV,PLN,-17.14,1608674050000
161,Xperi Corporation,XPER,SYP,192.97,1602478254000
162,"Oppenheimer Holdings, Inc.",OPY,PLN,-48.72,1581725383000
163,Medley Capital Corporation,MCX,PHP,93.57,1598111895000
164,"Electro Scientific Industries, Inc.",ESIO,PLN,150.43,1580874500000
165,UGI Corporation,UGI,CNY,-52.51,1602414431000
166,Cytori Therapeutics Inc,CYTXW,CZK,147.62,1606912530000
167,"Bloomin' Brands, Inc.",BLMN,JPY,-174.19,1608033627000
168,"BSB Bancorp, Inc.",BLMT,CLP,27.36,1586026517000
169,"Tootsie Roll Industries, Inc.",TR,JPY,27.73,1586634760000
170,Reynolds American Inc,RAI,ARS,-68.32,1595883287000
171,"Tarena International, Inc.",TEDU,RUB,143.54,1604541359000
172,Ryerson Holding Corporation,RYI,LYD,-166.23,1579966153000
173,"CAS Medical Systems, Inc.",CASM,EUR,52.11,1602104743000
174,Concho Resources Inc.,CXO,PHP,77.98,1579632757000
175,"UMH Properties, Inc.",UMH,CNY,-140.41,1596345668000
176,"Prudential Financial, Inc.",PRU,RSD,104.85,1583185181000
177,"Ultra Clean Holdings, Inc.",UCTT,PEN,-53.44,1601448674000
178,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",EDD,CNY,81.97,1582162110000
179,"Myriad Genetics, Inc.",MYGN,CNY,96.78,1581173686000
180,"Amplify Snack Brands, inc.",BETR,AMD,-10.14,1595766063000
181,"Five Prime Therapeutics, Inc.",FPRX,PLN,146.33,1602079235000
182,United Insurance Holdings Corp.,UIHC,IDR,-108.7,1604755087000
183,Citigroup Inc.,C^S,HTG,143.95,1580217171000
184,Jacobs Engineering Group Inc.,JEC,ALL,126.96,1579065537000
185,Aflac Incorporated,AFSD,RUB,-140.66,1608514584000
186,"Netlist, Inc.",NLST,CNY,187.03,1605106884000
187,Nuveen Tax-Advantaged Dividend Growth Fund,JTD,EUR,68.45,1594326986000
188,"Fiserv, Inc.",FISV,MWK,54.32,1608642592000
189,Marine Petroleum Trust,MARPS,IRR,64.63,1604965310000
190,"Cohu, Inc.",COHU,NPR,83.74,1609269664000
191,"Moleculin Biotech, Inc.",MBRX,PEN,-130.99,1599301055000
192,"New York Community Bancorp, Inc.",NYCB^A,PHP,148.6,1581633334000
193,"Rave Restaurant Group, Inc.",RAVE,BRL,-127.47,1604526307000
194,Antero Midstream GP LP,AMGP,UAH,141.74,1603091748000
195,Global X Social Media ETF,SOCL,THB,0.6,1589076233000
196,"Eleven Biotherapeutics, Inc.",EBIO,IDR,-41.88,1608206691000
197,Algonquin Power & Utilities Corp.,AQN,PHP,126.37,1599030562000
198,"Rudolph Technologies, Inc.",RTEC,GTQ,84.56,1596608861000
199,Heritage Financial Corporation,HFWA,RUB,-131.02,1595252257000
200,"UMH Properties, Inc.",UMH^B,RUB,138.72,1587599055000
201,"Aquinox Pharmaceuticals, Inc.",AQXP,CNY,152.54,1593395952000
202,BP p.l.c.,BP,CNY,83.64,1589084082000
203,Jensyn Acquistion Corp.,JSYNW,UGX,-78.09,1603067007000
204,Entergy Corporation,ETR,PHP,-189.26,1602973870000
205,Brookfield Infrastructure Partners LP,BIP,RSD,-61.5,1579233194000
206,Highpower International Inc,HPJ,BRL,-117.66,1579157188000
207,"Black Diamond, Inc.",BDE,CNY,-176.1,1578205948000
208,Inphi Corporation,IPHI,CNY,113.54,1593586007000
209,"Office Depot, Inc.",ODP,PLN,-57.1,1598782359000
210,TPG Pace Energy Holdings Corp.,TPGE.U,IDR,-100.24,1596875560000
211,"Barnes Group, Inc.",B,CNY,165.06,1586539340000
212,Bank Of New York Mellon Corporation (The),BK,BRL,56.35,1578822617000
213,"Fresh Del Monte Produce, Inc.",FDP,HNL,40.56,1598709528000
214,"Western Asset Municipal High Income Fund, Inc.",MHF,PHP,-136.13,1590197208000
215,SpartanNash Company,SPTN,PLN,31.37,1602843756000
216,"Varian Medical Systems, Inc.",VAR,PLN,67.05,1579417236000
217,Hailiang Education Group Inc.,HLG,KZT,45.56,1593175911000
218,Antero Midstream Partners LP,AM,MYR,107.11,1582884591000
219,"KCG Holdings, Inc.",KCG,CNY,158.29,1609229032000
220,Nuveen Credit Opportunities 2022 Target Term Fund,JCO,PHP,-2.59,1582906039000
221,Novadaq Technologies Inc,NVDQ,BGN,-169.36,1602474858000
222,Envision Healthcare Corporation,EVHC,UAH,180.69,1597261761000
223,Nuveen Quality Municipal Income Fund,NAD,AFN,56.38,1582270421000
224,"Beacon Roofing Supply, Inc.",BECN,EUR,15.57,1584996508000
225,Medallion Financial Corp.,MFIN,RUB,160.42,1596269467000
226,Ramco-Gershenson Properties Trust,RPT^D,UAH,-147.19,1593070067000
227,Morgan Stanley,MS^K,RUB,133.65,1598329119000
228,Medley Capital Corporation,MCV,CHF,89.03,1608247934000
229,Puma Biotechnology Inc,PBYI,CNY,127.83,1590833386000
230,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,DWLV,CZK,59.47,1577921737000
231,"Buffalo Wild Wings, Inc.",BWLD,IDR,-24.68,1587100582000
232,American Homes 4 Rent,AMH^E,USD,-36.21,1598969515000
233,"FireEye, Inc.",FEYE,MAD,-70.24,1588441406000
234,"GAIN Capital Holdings, Inc.",GCAP,SEK,-136.23,1598285685000
235,First Trust Small Cap Growth AlphaDEX Fund,FYC,PHP,-14.16,1598793263000
236,Morgan Stanley,MS,SYP,-64.25,1578652728000
237,Citigroup Inc.,C^N,CNY,32.75,1604906528000
238,"Red Hat, Inc.",RHT,CZK,17.95,1582485613000
239,Devon Energy Corporation,DVN,BRL,-110.61,1577840554000
240,Red Lion Hotels Corporation,RLH,PHP,-164.2,1601088268000
241,"Schmitt Industries, Inc.",SMIT,VEF,-172.83,1580555318000
242,Sohu.com Inc.,SOHU,EUR,-104.12,1603748159000
243,Covanta Holding Corporation,CVA,PEN,-33.21,1586496559000
244,"Rambus, Inc.",RMBS,MXN,-186.61,1582558151000
245,Northern Trust Corporation,NTRSP,CNY,18.41,1595267347000
246,"Western Asset Managed Municipals Fund, Inc.",MMU,IDR,22.36,1593132394000
247,"Advanced Semiconductor Engineering, Inc.",ASX,PEN,88.45,1605124260000
248,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,HJV,RUB,149.06,1594965591000
249,"WPX Energy, Inc.",WPXP,BRL,187.27,1603472407000
250,Microchip Technology Incorporated,MCHP,IDR,-158.78,1609073117000
251,"Aduro Biotech, Inc.",ADRO,PAB,-195.68,1608521779000
252,KeyCorp,KEY,CNY,42.11,1589723572000
253,"Genomic Health, Inc.",GHDX,MXN,50.1,1595822552000
254,iShares Commodities Select Strategy ETF,COMT,BRL,137.2,1594537927000
255,CyrusOne Inc,CONE,CNY,173.28,1588946804000
256,YPF Sociedad Anonima,YPF,EUR,3.47,1580230611000
257,BioSpecifics Technologies Corp,BSTC,BRL,101.5,1595088066000
258,Genie Energy Ltd.,GNE^A,MZN,-66.69,1601508134000
259,Two Harbors Investments Corp,TWO^A,EUR,-10.62,1583988558000
260,Ichor Holdings,ICHR,RUB,-39.31,1581304128000
261,Synnex Corporation,SNX,BRL,148.53,1582404215000
262,Summit State Bank,SSBI,EUR,-92.57,1604886498000
263,Community West Bancshares,CWBC,RUB,10.76,1581348007000
264,"Atwood Oceanics, Inc.",ATW,XAF,-84.31,1578248655000
265,Protective Life Corporation,PL^E,RUB,-139.84,1608846689000
266,Senior Housing Properties Trust,SNHNI,IDR,-63.77,1606259095000
267,"Del Frisco's Restaurant Group, Inc.",DFRG,USD,-177.4,1586850299000
268,"Apricus Biosciences, Inc.",APRI,IDR,-60.79,1604494651000
269,"Tallgrass Energy Partners, LP",TEP,PHP,177.55,1583213194000
270,Advantage Oil & Gas Ltd,AAV,EUR,-16.88,1595607409000
271,"Marchex, Inc.",MCHX,CAD,141.57,1602483026000
272,eGain Corporation,EGAN,CNY,-193.91,1603858348000
273,Nymox Pharmaceutical Corporation,NYMX,DOP,107.08,1587066132000
274,Formula Systems (1985) Ltd.,FORTY,IDR,117.9,1582042360000
275,Equity Residential,EQR,UGX,119.0,1586509833000
276,VictoryShares Emerging Market Volatility Wtd ETF,CEZ,RUB,-162.58,1588107811000
277,First Trust High Yield Long/Short ETF,HYLS,UZS,-94.81,1595147504000
278,Sumitomo Mitsui Financial Group Inc,SMFG,XOF,160.89,1590841833000
279,"Proteostasis Therapeutics, Inc.",PTI,BRL,-70.84,1594737960000
280,The York Water Company,YORW,BRL,166.59,1586324246000
281,Aetna Inc.,AET,COP,-75.75,1581556126000
282,Grupo Supervielle S.A.,SUPV,SEK,-189.95,1604270353000
283,Sanofi,GCVRZ,IDR,170.37,1604155776000
284,"CBL & Associates Properties, Inc.",CBL,CNY,-24.43,1592127656000
285,Associated Banc-Corp,ASB^D,LYD,64.78,1594351035000
286,Morgan Stanley,MS^E,IDR,-142.14,1589971069000
287,"Templeton Global Income Fund, Inc.",GIM,SEK,-138.39,1579251637000
288,Actua Corporation,ACTA,IQD,-126.92,1599306065000
289,Scudder Strategic Municiple Income Trust,KSM,PHP,170.15,1601245739000
290,National Retail Properties,NNN^E,CNY,140.19,1590899640000
291,FS Investment Corporation,FSIC,CNY,83.77,1584875869000
292,Atlassian Corporation Plc,TEAM,RUB,-183.03,1596022896000
293,"Grand Canyon Education, Inc.",LOPE,CNY,174.11,1582150404000
294,"Utah Medical Products, Inc.",UTMD,SEK,172.62,1586445843000
295,Banco Santander Brasil SA,BSBR,RUB,181.87,1583181647000
296,VictoryShares Emerging Market Volatility Wtd ETF,CEZ,BAM,-104.01,1580750622000
297,"Opko Health, Inc.",OPK,CNY,-158.18,1583238919000
298,"Take-Two Interactive Software, Inc.",TTWO,IDR,152.92,1589626266000
299,"Monster Digital, Inc.",MSDI,USD,-137.77,1583387395000
300,American Homes 4 Rent,AMH,USD,88.8,1603654230000
301,"First Bancorp, Inc (ME)",FNLC,CNY,-1.93,1603830231000
302,"CytomX Therapeutics, Inc.",CTMX,KPW,12.99,1596230044000
303,"Nord Anglia Education, Inc.",NORD,IDR,-174.79,1597210189000
304,Scudder Strategic Income Trust,KST,JOD,-168.56,1600071431000
305,Dynegy Inc.,DYN,WST,-81.8,1589684187000
306,First Trust Emerging Markets AlphaDEX Fund,FEM,IDR,40.04,1594584162000
307,"NeuroMetrix, Inc.",NURO,IDR,-54.92,1593573658000
308,"Dominion Energy, Inc.",DRUA,CNY,-60.0,1578163544000
309,AVX Corporation,AVX,IDR,-161.87,1590608479000
310,"Cullen/Frost Bankers, Inc.",CFR,CNY,35.26,1585964076000
311,National General Holdings Corp,NGHCN,GHS,-182.33,1592261363000
312,"Aqua America, Inc.",WTR,CNY,-18.27,1606362574000
313,Simmons First National Corporation,SFNC,EUR,-176.98,1599056055000
314,Microsemi Corporation,MSCC,CNY,-68.94,1589917278000
315,Nuveen California Quality Municipal Income Fund,NAC,PLN,-146.91,1600981017000
316,Motif Bio plc,MTFBW,CNY,-154.05,1592044100000
317,"Global Brokerage, Inc.",GLBR,RUB,-174.08,1594628059000
318,CPB Inc.,CPF,MAD,-79.12,1583118747000
319,"Royal Bancshares of Pennsylvania, Inc.",RBPAA,XOF,-19.25,1585926086000
320,"NantKwest, Inc.",NK,VND,184.13,1599409186000
321,"Acasti Pharma, Inc.",ACST,VND,62.03,1601424169000
322,United Security Bancshares,UBFO,ARS,194.12,1584064883000
323,"Loxo Oncology, Inc.",LOXO,USD,19.65,1581513856000
324,"Del Taco Restaurants, Inc.",TACO,XAF,149.15,1596206330000
325,VSE Corporation,VSEC,LKR,-153.74,1598596615000
326,"Dominion Energy Midstream Partners, LP",DM,IDR,119.98,1599037665000
327,"Juniper Networks, Inc.",JNPR,BOB,50.19,1593041555000
328,"Douglas Dynamics, Inc.",PLOW,PEN,-129.82,1583297500000
329,"Forward Industries, Inc.",FORD,GTQ,13.61,1579484055000
330,"2U, Inc.",TWOU,RUB,-183.6,1604189039000
331,Erie Indemnity Company,ERIE,BRL,-28.84,1586642921000
332,Steel Partners Holdings LP,SPLP,IDR,66.67,1602384139000
333,GSV Capital Corp,GSVC,UAH,103.8,1603480083000
334,CU Bancorp (CA),CUNB,PLN,-26.35,1588567330000
335,"Foot Locker, Inc.",FL,NGN,186.54,1602399223000
336,"NantHealth, Inc.",NH,IDR,6.44,1591181412000
337,"PDF Solutions, Inc.",PDFS,TND,37.5,1601619442000
338,Ark Restaurants Corp.,ARKR,PLN,-175.15,1592035024000
339,"Earthstone Energy, Inc.",ESTE,PLN,91.96,1605819766000
340,X-Links Silver Shares Covered Call ETN,SLVO,EUR,-57.24,1604963180000
341,Markel Corporation,MKL,IDR,19.87,1598363967000
342,Pennsylvania Real Estate Investment Trust,PEI^C,ETB,100.18,1583545084000
343,"Mitcham Industries, Inc.",MINDP,VND,-64.53,1608550318000
344,"Seattle Genetics, Inc.",SGEN,CNY,112.89,1589997195000
345,"Cracker Barrel Old Country Store, Inc.",CBRL,PLN,-107.78,1590302796000
346,Auris Medical Holding AG,EARS,HTG,54.7,1590119620000
347,"Instructure, Inc.",INST,BRL,130.9,1596827443000
348,WSI Industries Inc.,WSCI,SLL,88.99,1592418825000
349,"Bravo Brio Restaurant Group, Inc.",BBRG,PKR,-151.05,1586672769000
350,Korea Electric Power Corporation,KEP,LKR,-5.32,1580343893000
351,"51job, Inc.",JOBS,CNY,-147.25,1586362029000
352,"Berkshire Hills Bancorp, Inc.",BHLB,PHP,-70.16,1590512097000
353,Reading International Inc,RDIB,GEL,-118.32,1595969198000
354,BlackRock Municipal Income Trust,BFK,TJS,-107.78,1583738832000
355,Special Opportunities Fund Inc.,SPE,CNY,-141.5,1584300132000
356,The Carlyle Group L.P.,CG,MKD,39.42,1580592419000
357,"Scudder Global High Income Fund, Inc.",LBF,CNY,35.67,1583389150000
358,"Insteel Industries, Inc.",IIIN,IDR,46.9,1608451351000
359,Barington/Hilco Acquisition Corp.,BHACR,IDR,-185.38,1606810827000
360,Pimco New York Municipal Income Fund II,PNI,PEN,-117.4,1599970698000
361,"Opexa Therapeutics, Inc.",OPXA,LYD,36.98,1583357795000
362,Omega Protein Corporation,OME,EUR,172.11,1601130978000
363,ESCO Technologies Inc.,ESE,CNY,-111.58,1590266731000
364,"ICU Medical, Inc.",ICUI,EUR,-0.06,1596287131000
365,"Bio-Path Holdings, Inc.",BPTH,CNY,137.36,1598460051000
366,"Marathon Patent Group, Inc.",MARA,VEF,-160.85,1606656538000
367,WGL Holdings Inc,WGL,PEN,-34.38,1594052739000
368,"Mizuho Financial Group, Inc.",MFG,USD,-95.32,1583578746000
369,Kentucky First Federal Bancorp,KFFB,RUB,-69.46,1594689935000
370,"O'Reilly Automotive, Inc.",ORLY,SYP,-185.21,1580263435000
371,CBRE Clarion Global Real Estate Income Fund,IGR,ARS,88.94,1589395267000
372,NOW Inc.,DNOW,CNY,64.34,1591714814000
373,"C.R. Bard, Inc.",BCR,CAD,-176.81,1578057214000
374,Extra Space Storage Inc,EXR,CNY,132.79,1588110883000
375,Regions Financial Corporation,RF^A,CNY,177.13,1601480451000
376,"Bridgeline Digital, Inc.",BLIN          ,EUR,-91.1,1585317258000
377,Vantage Energy Acquisition Corp.,VEACU,VND,170.03,1592093122000
378,Bank of America Corporation,BAC^A,YER,-57.3,1584416554000
379,First Trust Multi-Asset Diversified Income Index Fund,MDIV,USD,-61.85,1606089224000
380,China Unicom (Hong Kong) Ltd,CHU,IDR,-59.46,1585593813000
381,"Maui Land & Pineapple Company, Inc.",MLP,RUB,143.44,1581783878000
382,"Daseke, Inc.",DSKEW,EUR,47.55,1593955728000
383,"Townsquare Media, Inc.",TSQ,THB,133.57,1582881519000
384,Hancock Holding Company,HBHC,CNY,-164.3,1588556470000
385,"Shineco, Inc.",TYHT,PHP,109.15,1603976291000
386,"Perma-Pipe International Holdings, Inc.",PPIH,UAH,19.1,1601979753000
387,VelocityShares Daily Inverse VIX Medium-Term ETN,ZIV,EUR,17.46,1596023233000
388,Saratoga Investment Corp,SAB,JPY,-40.8,1600717301000
389,"GenVec, Inc.",GNVC,EUR,97.63,1589176481000
390,RPM International Inc.,RPM,CNY,27.86,1596565786000
391,Aegon NV,AED,PHP,11.06,1608766084000
392,Gabelli Dividend,GDV^G,PHP,136.06,1589441231000
393,ZIOPHARM Oncology Inc,ZIOP,UZS,-163.29,1588361084000
394,"Reliv' International, Inc.",RELV,IDR,-96.93,1604055671000
395,Axis Capital Holdings Limited,AXS,CHF,-8.19,1580519547000
396,Arotech Corporation,ARTX,MXN,21.97,1581728577000
397,Select Asset Inc.,JBR,THB,-172.52,1590653976000
398,Texas Instruments Incorporated,TXN,THB,142.88,1588716689000
399,"Acadia Healthcare Company, Inc.",ACHC,PEN,51.15,1599553777000
400,"Blackrock Enhanced Government Fund, Inc",EGF,EUR,-60.58,1601576216000
