name,symbol,currency,amount,date
Nuveen AMT-Free Municipal Value Fund,NUW,VND,80.26,1586685663000
Southern California Edison Company,SCE^H,PEN,193.13,1584609242000
Geo Group Inc (The),GEO,UAH,-113.33,1598267728000
iFresh Inc.,IFMK,UAH,65.76,1598606880000
"Cable One, Inc.",CABO,EUR,-145.96,1602436516000
"Spark Energy, Inc.",SPKE,IRR,47.40,1605996476000
"Profire Energy, Inc.",PFIE,EUR,164.53,1599753653000
Nuveen Quality Municipal Income Fund,NAD,CNY,199.83,1590300752000
Yulong Eco-Materials Limited,YECO,IDR,-160.40,1604721817000
Pharmerica Corporation,PMC,KRW,-129.69,1593665543000
Unilever PLC,UL,JPY,-49.03,1601373377000
First Trust NASDAQ ABA Community Bank Index Fund,QABA,AFN,-195.28,1600320715000
Tidewater Inc.,TDW,ARS,-14.88,1594093999000
PBF Logistics LP,PBFX,CNY,86.07,1608334705000
Aegon NV,AEK,BRL,78.71,1594911331000
IRIDEX Corporation,IRIX,IDR,-9.43,1597620381000
"Mellanox Technologies, Ltd.",MLNX,UAH,-119.00,1606538489000
La Quinta Holdings Inc.,LQ,CNY,3.00,1584046159000
"Archrock Partners, L.P.",APLP,MXN,-63.09,1582046279000
Methanex Corporation,MEOH,CNY,102.87,1594046457000
"Celestica, Inc.",CLS,MGA,143.94,1593647757000
Ferroglobe PLC,GSM,EUR,-3.38,1605144202000
iShares MSCI New Zealand Capped ETF,ENZL,HRK,-121.55,1596565827000
"Cracker Barrel Old Country Store, Inc.",CBRL,RUB,133.59,1584524982000
TearLab Corporation,TEAR,CNY,48.85,1601382024000
"Malibu Boats, Inc.",MBUU,CNY,-17.85,1599931701000
"Five Point Holdings, LLC",FPH,CNY,78.52,1608701177000
IntriCon Corporation,IIN,IDR,-80.69,1590911053000
CNOOC Limited,CEO,CNY,133.66,1606364755000
"Amazon.com, Inc.",AMZN,CNY,10.21,1588014016000
News Corporation,NWS,CNY,144.83,1597643866000
Transdigm Group Incorporated,TDG,EUR,153.94,1577871328000
"Sajan, Inc.",SAJA,EUR,9.03,1592062343000
Deutsche Bank AG,DB,PLN,35.21,1606298177000
Renren Inc.,RENN,ARS,-100.15,1608643529000
"Organovo Holdings, Inc.",ONVO,GTQ,171.48,1595735596000
Middlefield Banc Corp.,MBCN,BWP,-62.03,1584302547000
"Agios Pharmaceuticals, Inc.",AGIO,SEK,124.51,1594898347000
Costamare Inc.,CMRE,PLN,122.76,1592090766000
Apartment Investment and Management Company,AIV,KZT,54.66,1608041027000
Hersha Hospitality Trust,HT^D,EGP,39.27,1579894534000
"bluebird bio, Inc.",BLUE,CAD,137.77,1591158473000
Evogene Ltd.,EVGN,JOD,40.85,1583947008000
"NetScout Systems, Inc.",NTCT,PHP,-189.53,1586208761000
"Appliance Recycling Centers of America, Inc.",ARCI,CNY,6.46,1594108589000
"Sinovac Biotech, Ltd.",SVA,PHP,139.38,1606310058000
The Advisory Board Company,ABCO,IDR,2.87,1582529357000
Gentherm Inc,THRM,EUR,102.46,1589232514000
Capital Product Partners L.P.,CPLP,CZK,-127.36,1598731251000
Gabelli Utility Trust (The),GUT^A,SEK,-16.47,1600931814000
Gabelli Dividend,GDV^D,AZN,-54.48,1586736369000
Nuveen Preferred and Income Term Fund,JPI,EUR,-78.47,1606334690000
"The Ensign Group, Inc.",ENSG,IDR,181.06,1578347849000
Horizon Bancorp (IN),HBNC,BRL,-145.43,1602250380000
Aegon NV,AED,CZK,-96.83,1604312556000
Bed Bath & Beyond Inc.,BBBY,RUB,-102.87,1588804904000
"People's United Financial, Inc.",PBCTP,CNY,71.90,1588526152000
"ImmunoGen, Inc.",IMGN,THB,0.63,1595465462000
Wells Fargo & Company,WFC^L,JPY,-133.44,1594913481000
Good Times Restaurants Inc.,GTIM,RUB,112.31,1603139170000
Old Republic International Corporation,ORI,IDR,66.23,1601659787000
Weyerhaeuser Company,WY,EUR,41.51,1604750186000
"ING Group, N.V.",ISF,KPW,163.44,1588739392000
"Greenbrier Companies, Inc. (The)",GBX,BRL,125.74,1580080644000
SteadyMed Ltd.,STDY,USD,29.53,1586595955000
Teradata Corporation,TDC,TND,-110.77,1598668264000
"Kona Grill, Inc.",KONA,VEF,-78.70,1582774082000
ENDRA Life Sciences Inc.,NDRAU,EUR,-30.83,1582294490000
Torchmark Corporation,TMK,XAF,115.18,1590803204000
Immuron Limited,IMRNW,NGN,-79.77,1595175694000
Gabelli Utility Trust (The),GUT^C,CNY,-175.63,1591415676000
Hunter Maritime Acquisition Corp.,HUNTU,JPY,88.90,1604693264000
"Becton, Dickinson and Company",BDX,PHP,122.72,1593091721000
"MarketAxess Holdings, Inc.",MKTX,PLN,-54.70,1600079644000
Pattern Energy Group Inc.,PEGI,BRL,-194.92,1604523768000
Noodles & Company,NDLS,IDR,68.53,1605613540000
"LegacyTexas Financial Group, Inc.",LTXB,CNY,-134.83,1578803620000
"W&T Offshore, Inc.",WTI,RUB,-35.50,1600873522000
"Dynex Capital, Inc.",DX^B,SEK,174.02,1591605667000
"Knoll, Inc.",KNL,EUR,55.77,1593271081000
CafePress Inc.,PRSS,IDR,121.48,1602673484000
"Alaska Air Group, Inc.",ALK,IDR,155.55,1594598418000
Eaton Vance Municipal Income Trust,EOT,BRL,9.02,1607439594000
Nuveen Global High Income Fund,JGH,IDR,178.48,1596180529000
Walter Investment Management Corp.,WAC,EUR,186.48,1589746195000
Harmony Merger Corp.,HRMNU,PLN,157.19,1589415095000
Auris Medical Holding AG,EARS,XOF,87.62,1603739920000
"Commerce Bancshares, Inc.",CBSH,CZK,-89.30,1608272466000
First Trust RiverFront Dynamic Asia Pacific ETF,RFAP,BRL,-41.74,1596197549000
"Mannatech, Incorporated",MTEX,IQD,-29.73,1606365494000
Kingtone Wirelessinfo Solution Holding Ltd,KONE,HRK,177.24,1587915406000
"Centennial Resource Development, Inc.",CDEV,JPY,-167.37,1588209503000
"First Financial Bankshares, Inc.",FFIN,PEN,155.09,1582991810000
Xylem Inc.,XYL,EUR,-181.49,1591272890000
"Energy Recovery, Inc.",ERII,CNY,-139.77,1600749283000
Golar LNG Limited,GLNG,IDR,-176.04,1582554763000
"Extraction Oil & Gas, Inc.",XOG,USD,-36.01,1596424031000
GW Pharmaceuticals Plc,GWPH,EUR,30.95,1590896446000
"CSG Systems International, Inc.",CSGS,CNY,-66.28,1609100764000
"USA Technologies, Inc.",USATP,IDR,-33.81,1607226370000
The Providence Service Corporation,PRSC,IDR,40.77,1580447284000
"Landstar System, Inc.",LSTR,EUR,-89.72,1582454998000
Applied DNA Sciences Inc,APDN,AZN,-92.84,1596643210000
"Quintiles IMS Holdings, Inc.",Q,XAF,187.75,1587216103000
ITUS Corporation,ITUS,PLN,78.29,1607875468000
"Delta Air Lines, Inc.",DAL,CNY,-23.99,1595435023000
"TCG BDC, Inc.",CGBD,IDR,41.54,1602257116000
Brightcove Inc.,BCOV,PLN,-17.14,1608674050000
Xperi Corporation,XPER,SYP,192.97,1602478254000
"Oppenheimer Holdings, Inc.",OPY,PLN,-48.72,1581725383000
Medley Capital Corporation,MCX,PHP,93.57,1598111895000
"Electro Scientific Industries, Inc.",ESIO,PLN,150.43,1580874500000
UGI Corporation,UGI,CNY,-52.51,1602414431000
Cytori Therapeutics Inc,CYTXW,CZK,147.62,1606912530000
"Bloomin' Brands, Inc.",BLMN,JPY,-174.19,1608033627000
"BSB Bancorp, Inc.",BLMT,CLP,27.36,1586026517000
"Tootsie Roll Industries, Inc.",TR,JPY,27.73,1586634760000
Reynolds American Inc,RAI,ARS,-68.32,1595883287000
"Tarena International, Inc.",TEDU,RUB,143.54,1604541359000
Ryerson Holding Corporation,RYI,LYD,-166.23,1579966153000
"CAS Medical Systems, Inc.",CASM,EUR,52.11,1602104743000
Concho Resources Inc.,CXO,PHP,77.98,1579632757000
"UMH Properties, Inc.",UMH,CNY,-140.41,1596345668000
"Prudential Financial, Inc.",PRU,RSD,104.85,1583185181000
"Ultra Clean Holdings, Inc.",UCTT,PEN,-53.44,1601448674000
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",EDD,CNY,81.97,1582162110000
"Myriad Genetics, Inc.",MYGN,CNY,96.78,1581173686000
"Amplify Snack Brands, inc.",BETR,AMD,-10.14,1595766063000
"Five Prime Therapeutics, Inc.",FPRX,PLN,146.33,1602079235000
United Insurance Holdings Corp.,UIHC,IDR,-108.70,1604755087000
Citigroup Inc.,C^S,HTG,143.95,1580217171000
Jacobs Engineering Group Inc.,JEC,ALL,126.96,1579065537000
Aflac Incorporated,AFSD,RUB,-140.66,1608514584000
"Netlist, Inc.",NLST,CNY,187.03,1605106884000
Nuveen Tax-Advantaged Dividend Growth Fund,JTD,EUR,68.45,1594326986000
"Fiserv, Inc.",FISV,MWK,54.32,1608642592000
Marine Petroleum Trust,MARPS,IRR,64.63,1604965310000
"Cohu, Inc.",COHU,NPR,83.74,1609269664000
"Moleculin Biotech, Inc.",MBRX,PEN,-130.99,1599301055000
"New York Community Bancorp, Inc.",NYCB^A,PHP,148.60,1581633334000
"Rave Restaurant Group, Inc.",RAVE,BRL,-127.47,1604526307000
Antero Midstream GP LP,AMGP,UAH,141.74,1603091748000
Global X Social Media ETF,SOCL,THB,0.60,1589076233000
"Eleven Biotherapeutics, Inc.",EBIO,IDR,-41.88,1608206691000
Algonquin Power & Utilities Corp.,AQN,PHP,126.37,1599030562000
"Rudolph Technologies, Inc.",RTEC,GTQ,84.56,1596608861000
Heritage Financial Corporation,HFWA,RUB,-131.02,1595252257000
"UMH Properties, Inc.",UMH^B,RUB,138.72,1587599055000
"Aquinox Pharmaceuticals, Inc.",AQXP,CNY,152.54,1593395952000
BP p.l.c.,BP,CNY,83.64,1589084082000
Jensyn Acquistion Corp.,JSYNW,UGX,-78.09,1603067007000
Entergy Corporation,ETR,PHP,-189.26,1602973870000
Brookfield Infrastructure Partners LP,BIP,RSD,-61.50,1579233194000
Highpower International Inc,HPJ,BRL,-117.66,1579157188000
"Black Diamond, Inc.",BDE,CNY,-176.10,1578205948000
Inphi Corporation,IPHI,CNY,113.54,1593586007000
"Office Depot, Inc.",ODP,PLN,-57.10,1598782359000
TPG Pace Energy Holdings Corp.,TPGE.U,IDR,-100.24,1596875560000
"Barnes Group, Inc.",B,CNY,165.06,1586539340000
Bank Of New York Mellon Corporation (The),BK,BRL,56.35,1578822617000
"Fresh Del Monte Produce, Inc.",FDP,HNL,40.56,1598709528000
"Western Asset Municipal High Income Fund, Inc.",MHF,PHP,-136.13,1590197208000
SpartanNash Company,SPTN,PLN,31.37,1602843756000
"Varian Medical Systems, Inc.",VAR,PLN,67.05,1579417236000
Hailiang Education Group Inc.,HLG,KZT,45.56,1593175911000
Antero Midstream Partners LP,AM,MYR,107.11,1582884591000
"KCG Holdings, Inc.",KCG,CNY,158.29,1609229032000
Nuveen Credit Opportunities 2022 Target Term Fund,JCO,PHP,-2.59,1582906039000
Novadaq Technologies Inc,NVDQ,BGN,-169.36,1602474858000
Envision Healthcare Corporation,EVHC,UAH,180.69,1597261761000
Nuveen Quality Municipal Income Fund,NAD,AFN,56.38,1582270421000
"Beacon Roofing Supply, Inc.",BECN,EUR,15.57,1584996508000
Medallion Financial Corp.,MFIN,RUB,160.42,1596269467000
Ramco-Gershenson Properties Trust,RPT^D,UAH,-147.19,1593070067000
Morgan Stanley,MS^K,RUB,133.65,1598329119000
Medley Capital Corporation,MCV,CHF,89.03,1608247934000
Puma Biotechnology Inc,PBYI,CNY,127.83,1590833386000
PowerShares DWA Momentum & Low Volatility Rotation Portfolio,DWLV,CZK,59.47,1577921737000
"Buffalo Wild Wings, Inc.",BWLD,IDR,-24.68,1587100582000
American Homes 4 Rent,AMH^E,USD,-36.21,1598969515000
"FireEye, Inc.",FEYE,MAD,-70.24,1588441406000
"GAIN Capital Holdings, Inc.",GCAP,SEK,-136.23,1598285685000
First Trust Small Cap Growth AlphaDEX Fund,FYC,PHP,-14.16,1598793263000
Morgan Stanley,MS,SYP,-64.25,1578652728000
Citigroup Inc.,C^N,CNY,32.75,1604906528000
"Red Hat, Inc.",RHT,CZK,17.95,1582485613000
Devon Energy Corporation,DVN,BRL,-110.61,1577840554000
Red Lion Hotels Corporation,RLH,PHP,-164.20,1601088268000
"Schmitt Industries, Inc.",SMIT,VEF,-172.83,1580555318000
Sohu.com Inc.,SOHU,EUR,-104.12,1603748159000
Covanta Holding Corporation,CVA,PEN,-33.21,1586496559000
"Rambus, Inc.",RMBS,MXN,-186.61,1582558151000
Northern Trust Corporation,NTRSP,CNY,18.41,1595267347000
"Western Asset Managed Municipals Fund, Inc.",MMU,IDR,22.36,1593132394000
"Advanced Semiconductor Engineering, Inc.",ASX,PEN,88.45,1605124260000
MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,HJV,RUB,149.06,1594965591000
"WPX Energy, Inc.",WPXP,BRL,187.27,1603472407000
Microchip Technology Incorporated,MCHP,IDR,-158.78,1609073117000
"Aduro Biotech, Inc.",ADRO,PAB,-195.68,1608521779000
KeyCorp,KEY,CNY,42.11,1589723572000
"Genomic Health, Inc.",GHDX,MXN,50.10,1595822552000
iShares Commodities Select Strategy ETF,COMT,BRL,137.20,1594537927000
CyrusOne Inc,CONE,CNY,173.28,1588946804000
YPF Sociedad Anonima,YPF,EUR,3.47,1580230611000
BioSpecifics Technologies Corp,BSTC,BRL,101.50,1595088066000
Genie Energy Ltd.,GNE^A,MZN,-66.69,1601508134000
Two Harbors Investments Corp,TWO^A,EUR,-10.62,1583988558000
Ichor Holdings,ICHR,RUB,-39.31,1581304128000
Synnex Corporation,SNX,BRL,148.53,1582404215000
Summit State Bank,SSBI,EUR,-92.57,1604886498000
Community West Bancshares,CWBC,RUB,10.76,1581348007000
"Atwood Oceanics, Inc.",ATW,XAF,-84.31,1578248655000
Protective Life Corporation,PL^E,RUB,-139.84,1608846689000
Senior Housing Properties Trust,SNHNI,IDR,-63.77,1606259095000
"Del Frisco's Restaurant Group, Inc.",DFRG,USD,-177.40,1586850299000
"Apricus Biosciences, Inc.",APRI,IDR,-60.79,1604494651000
"Tallgrass Energy Partners, LP",TEP,PHP,177.55,1583213194000
Advantage Oil & Gas Ltd,AAV,EUR,-16.88,1595607409000
"Marchex, Inc.",MCHX,CAD,141.57,1602483026000
eGain Corporation,EGAN,CNY,-193.91,1603858348000
Nymox Pharmaceutical Corporation,NYMX,DOP,107.08,1587066132000
Formula Systems (1985) Ltd.,FORTY,IDR,117.90,1582042360000
Equity Residential,EQR,UGX,119.00,1586509833000
VictoryShares Emerging Market Volatility Wtd ETF,CEZ,RUB,-162.58,1588107811000
First Trust High Yield Long/Short ETF,HYLS,UZS,-94.81,1595147504000
Sumitomo Mitsui Financial Group Inc,SMFG,XOF,160.89,1590841833000
"Proteostasis Therapeutics, Inc.",PTI,BRL,-70.84,1594737960000
The York Water Company,YORW,BRL,166.59,1586324246000
Aetna Inc.,AET,COP,-75.75,1581556126000
Grupo Supervielle S.A.,SUPV,SEK,-189.95,1604270353000
Sanofi,GCVRZ,IDR,170.37,1604155776000
"CBL & Associates Properties, Inc.",CBL,CNY,-24.43,1592127656000
Associated Banc-Corp,ASB^D,LYD,64.78,1594351035000
Morgan Stanley,MS^E,IDR,-142.14,1589971069000
"Templeton Global Income Fund, Inc.",GIM,SEK,-138.39,1579251637000
Actua Corporation,ACTA,IQD,-126.92,1599306065000
Scudder Strategic Municiple Income Trust,KSM,PHP,170.15,1601245739000
National Retail Properties,NNN^E,CNY,140.19,1590899640000
FS Investment Corporation,FSIC,CNY,83.77,1584875869000
Atlassian Corporation Plc,TEAM,RUB,-183.03,1596022896000
"Grand Canyon Education, Inc.",LOPE,CNY,174.11,1582150404000
"Utah Medical Products, Inc.",UTMD,SEK,172.62,1586445843000
Banco Santander Brasil SA,BSBR,RUB,181.87,1583181647000
VictoryShares Emerging Market Volatility Wtd ETF,CEZ,BAM,-104.01,1580750622000
"Opko Health, Inc.",OPK,CNY,-158.18,1583238919000
"Take-Two Interactive Software, Inc.",TTWO,IDR,152.92,1589626266000
"Monster Digital, Inc.",MSDI,USD,-137.77,1583387395000
American Homes 4 Rent,AMH,USD,88.80,1603654230000
"First Bancorp, Inc (ME)",FNLC,CNY,-1.93,1603830231000
"CytomX Therapeutics, Inc.",CTMX,KPW,12.99,1596230044000
"Nord Anglia Education, Inc.",NORD,IDR,-174.79,1597210189000
Scudder Strategic Income Trust,KST,JOD,-168.56,1600071431000
Dynegy Inc.,DYN,WST,-81.80,1589684187000
First Trust Emerging Markets AlphaDEX Fund,FEM,IDR,40.04,1594584162000
"NeuroMetrix, Inc.",NURO,IDR,-54.92,1593573658000
"Dominion Energy, Inc.",DRUA,CNY,-60.00,1578163544000
AVX Corporation,AVX,IDR,-161.87,1590608479000
"Cullen/Frost Bankers, Inc.",CFR,CNY,35.26,1585964076000
National General Holdings Corp,NGHCN,GHS,-182.33,1592261363000
"Aqua America, Inc.",WTR,CNY,-18.27,1606362574000
Simmons First National Corporation,SFNC,EUR,-176.98,1599056055000
Microsemi Corporation,MSCC,CNY,-68.94,1589917278000
Nuveen California Quality Municipal Income Fund,NAC,PLN,-146.91,1600981017000
Motif Bio plc,MTFBW,CNY,-154.05,1592044100000
"Global Brokerage, Inc.",GLBR,RUB,-174.08,1594628059000
CPB Inc.,CPF,MAD,-79.12,1583118747000
"Royal Bancshares of Pennsylvania, Inc.",RBPAA,XOF,-19.25,1585926086000
"NantKwest, Inc.",NK,VND,184.13,1599409186000
"Acasti Pharma, Inc.",ACST,VND,62.03,1601424169000
United Security Bancshares,UBFO,ARS,194.12,1584064883000
"Loxo Oncology, Inc.",LOXO,USD,19.65,1581513856000
"Del Taco Restaurants, Inc.",TACO,XAF,149.15,1596206330000
VSE Corporation,VSEC,LKR,-153.74,1598596615000
"Dominion Energy Midstream Partners, LP",DM,IDR,119.98,1599037665000
"Juniper Networks, Inc.",JNPR,BOB,50.19,1593041555000
"Douglas Dynamics, Inc.",PLOW,PEN,-129.82,1583297500000
"Forward Industries, Inc.",FORD,GTQ,13.61,1579484055000
"2U, Inc.",TWOU,RUB,-183.60,1604189039000
Erie Indemnity Company,ERIE,BRL,-28.84,1586642921000
Steel Partners Holdings LP,SPLP,IDR,66.67,1602384139000
GSV Capital Corp,GSVC,UAH,103.80,1603480083000
CU Bancorp (CA),CUNB,PLN,-26.35,1588567330000
"Foot Locker, Inc.",FL,NGN,186.54,1602399223000
"NantHealth, Inc.",NH,IDR,6.44,1591181412000
"PDF Solutions, Inc.",PDFS,TND,37.50,1601619442000
Ark Restaurants Corp.,ARKR,PLN,-175.15,1592035024000
"Earthstone Energy, Inc.",ESTE,PLN,91.96,1605819766000
X-Links Silver Shares Covered Call ETN,SLVO,EUR,-57.24,1604963180000
Markel Corporation,MKL,IDR,19.87,1598363967000
Pennsylvania Real Estate Investment Trust,PEI^C,ETB,100.18,1583545084000
"Mitcham Industries, Inc.",MINDP,VND,-64.53,1608550318000
"Seattle Genetics, Inc.",SGEN,CNY,112.89,1589997195000
"Cracker Barrel Old Country Store, Inc.",CBRL,PLN,-107.78,1590302796000
Auris Medical Holding AG,EARS,HTG,54.70,1590119620000
"Instructure, Inc.",INST,BRL,130.90,1596827443000
WSI Industries Inc.,WSCI,SLL,88.99,1592418825000
"Bravo Brio Restaurant Group, Inc.",BBRG,PKR,-151.05,1586672769000
Korea Electric Power Corporation,KEP,LKR,-5.32,1580343893000
"51job, Inc.",JOBS,CNY,-147.25,1586362029000
"Berkshire Hills Bancorp, Inc.",BHLB,PHP,-70.16,1590512097000
Reading International Inc,RDIB,GEL,-118.32,1595969198000
BlackRock Municipal Income Trust,BFK,TJS,-107.78,1583738832000
Special Opportunities Fund Inc.,SPE,CNY,-141.50,1584300132000
The Carlyle Group L.P.,CG,MKD,39.42,1580592419000
"Scudder Global High Income Fund, Inc.",LBF,CNY,35.67,1583389150000
"Insteel Industries, Inc.",IIIN,IDR,46.90,1608451351000
Barington/Hilco Acquisition Corp.,BHACR,IDR,-185.38,1606810827000
Pimco New York Municipal Income Fund II,PNI,PEN,-117.40,1599970698000
"Opexa Therapeutics, Inc.",OPXA,LYD,36.98,1583357795000
Omega Protein Corporation,OME,EUR,172.11,1601130978000
ESCO Technologies Inc.,ESE,CNY,-111.58,1590266731000
"ICU Medical, Inc.",ICUI,EUR,-0.06,1596287131000
"Bio-Path Holdings, Inc.",BPTH,CNY,137.36,1598460051000
"Marathon Patent Group, Inc.",MARA,VEF,-160.85,1606656538000
WGL Holdings Inc,WGL,PEN,-34.38,1594052739000
"Mizuho Financial Group, Inc.",MFG,USD,-95.32,1583578746000
Kentucky First Federal Bancorp,KFFB,RUB,-69.46,1594689935000
"O'Reilly Automotive, Inc.",ORLY,SYP,-185.21,1580263435000
CBRE Clarion Global Real Estate Income Fund,IGR,ARS,88.94,1589395267000
NOW Inc.,DNOW,CNY,64.34,1591714814000
"C.R. Bard, Inc.",BCR,CAD,-176.81,1578057214000
Extra Space Storage Inc,EXR,CNY,132.79,1588110883000
Regions Financial Corporation,RF^A,CNY,177.13,1601480451000
"Bridgeline Digital, Inc.",BLIN          ,EUR,-91.10,1585317258000
Vantage Energy Acquisition Corp.,VEACU,VND,170.03,1592093122000
Bank of America Corporation,BAC^A,YER,-57.30,1584416554000
First Trust Multi-Asset Diversified Income Index Fund,MDIV,USD,-61.85,1606089224000
China Unicom (Hong Kong) Ltd,CHU,IDR,-59.46,1585593813000
"Maui Land & Pineapple Company, Inc.",MLP,RUB,143.44,1581783878000
"Daseke, Inc.",DSKEW,EUR,47.55,1593955728000
"Townsquare Media, Inc.",TSQ,THB,133.57,1582881519000
Hancock Holding Company,HBHC,CNY,-164.30,1588556470000
"Shineco, Inc.",TYHT,PHP,109.15,1603976291000
"Perma-Pipe International Holdings, Inc.",PPIH,UAH,19.10,1601979753000
VelocityShares Daily Inverse VIX Medium-Term ETN,ZIV,EUR,17.46,1596023233000
Saratoga Investment Corp,SAB,JPY,-40.80,1600717301000
"GenVec, Inc.",GNVC,EUR,97.63,1589176481000
RPM International Inc.,RPM,CNY,27.86,1596565786000
Aegon NV,AED,PHP,11.06,1608766084000
Gabelli Dividend,GDV^G,PHP,136.06,1589441231000
ZIOPHARM Oncology Inc,ZIOP,UZS,-163.29,1588361084000
"Reliv' International, Inc.",RELV,IDR,-96.93,1604055671000
Axis Capital Holdings Limited,AXS,CHF,-8.19,1580519547000
Arotech Corporation,ARTX,MXN,21.97,1581728577000
Select Asset Inc.,JBR,THB,-172.52,1590653976000
Texas Instruments Incorporated,TXN,THB,142.88,1588716689000
"Acadia Healthcare Company, Inc.",ACHC,PEN,51.15,1599553777000
"Blackrock Enhanced Government Fund, Inc",EGF,EUR,-60.58,1601576216000
"Western Asset Municipal High Income Fund, Inc.",MHF,EUR,-162.48,1595462444000
Magic Software Enterprises Ltd.,MGIC,CNY,0.84,1588230806000
"Old Second Bancorp, Inc.",OSBCP,CNY,-96.84,1579758362000
"Obalon Therapeutics, Inc.",OBLN,PHP,56.88,1593880931000
Pennsylvania Real Estate Investment Trust,PEI,CNY,3.79,1603786571000
"Lithia Motors, Inc.",LAD,UAH,-96.13,1593527212000
Petrobras Argentina S.A.,PZE,PLN,-129.99,1586572380000
National Energy Services Reunited Corp.,NESRW,EGP,-19.92,1586381252000
Sysco Corporation,SYY,RUB,-186.47,1585443770000
Cellect Biotechnology Ltd.,APOP,CNY,13.76,1603456186000
Restaurant Brands International Inc.,QSR,EUR,98.77,1604904880000
Royal Dutch Shell PLC,RDS.B,PLN,-40.24,1587145361000
Garrison Capital Inc.,GARS,CNY,57.71,1595658560000
Itau Unibanco Banco Holding SA,ITUB,BRL,51.80,1580287686000
Chemours Company (The),CC,THB,32.39,1578574241000
"HealthStream, Inc.",HSTM,JPY,-69.20,1591715524000
Actuant Corporation,ATU,PHP,103.47,1584000556000
"Exponent, Inc.",EXPO,CNY,133.14,1592038564000
"Minerva Neurosciences, Inc",NERV,RUB,70.55,1585635074000
Federated Premier Municipal Income Fund,FMN,IDR,146.97,1604491905000
Nuveen Georgia Quality Municipal Income Fund ,NKG,IDR,-38.91,1603285344000
"Fenix Parts, Inc.",FENX,IDR,-182.32,1588285574000
Ashford Hospitality Trust Inc,AHT,EUR,-53.77,1587278640000
